STUDENTNAAM,GESLACHT,GEBOORTEDATUM,KLASCODE,VAKCODE,DOCENTNAAM,PROEFWERKDATUM,CIJFER
Student50,M,2005-04-23 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"5,6"
Student36,M,2006-03-02 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"5,6"
Student43,M,2006-08-23 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"5,8"
Student49,M,2005-06-24 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"6,4"
Student29,M,2005-05-25 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"6,5"
Student29,M,2005-05-25 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"6,7"
Student28,M,2005-09-02 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"6,7"
Student49,M,2005-06-24 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"6,8"
Student42,M,2005-04-23 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"7,1"
Student37,M,2006-07-12 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"8,0"
Student37,M,2006-07-12 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"8,0"
Student50,M,2005-04-23 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"8,1"
Student34,M,2006-03-22 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"8,5"
Student36,M,2006-03-02 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"8,6"
Student43,M,2006-08-23 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"9,3"
Student49,M,2005-06-24 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"9,6"
Student43,M,2006-08-23 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"9,7"
Student36,M,2006-03-02 00:00:00,HV2,NED,Docent 1,2024-05-23 00:00:00,"9,8"
Student28,M,2005-09-02 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"9,9"
Student37,M,2006-07-12 00:00:00,HV2,NED,Docent 1,2023-10-16 00:00:00,"9,9"
Student28,M,2005-09-02 00:00:00,HV2,NED,Docent 6,2024-02-23 00:00:00,"10,0"
Student28,M,2005-09-02 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"4,3"
Student49,M,2005-06-24 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"4,6"
Student29,M,2005-05-25 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"4,8"
Student34,M,2006-03-22 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"4,9"
Student49,M,2005-06-24 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"5,0"
Student43,M,2006-08-23 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"5,0"
Student50,M,2005-04-23 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"5,2"
Student42,M,2005-04-23 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"5,2"
Student28,M,2005-09-02 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"5,2"
Student36,M,2006-03-02 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"5,2"
Student29,M,2005-05-25 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"5,3"
Student28,M,2005-09-02 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"5,3"
Student34,M,2006-03-22 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"5,5"
Student37,M,2006-07-12 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"6,0"
Student50,M,2005-04-23 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"6,1"
Student36,M,2006-03-02 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"6,1"
Student42,M,2005-04-23 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"6,3"
Student37,M,2006-07-12 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"6,9"
Student42,M,2005-04-23 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"7,4"
Student50,M,2005-04-23 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"7,5"
Student43,M,2006-08-23 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"8,0"
Student43,M,2006-08-23 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"8,6"
Student49,M,2005-06-24 00:00:00,HV2,WIS,Docent 4,2023-10-19 00:00:00,"9,1"
Student34,M,2006-03-22 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"9,2"
Student36,M,2006-03-02 00:00:00,HV2,WIS,Docent 9,2024-05-20 00:00:00,"9,6"
Student29,M,2005-05-25 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"9,7"
Student37,M,2006-07-12 00:00:00,HV2,WIS,Docent 9,2024-02-20 00:00:00,"9,7"
Student73,M,2006-01-31 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"2,8"
Student54,M,2005-11-17 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"3,2"
Student51,M,2005-05-07 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"3,3"
Student51,M,2005-05-07 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"3,4"
Student75,M,2005-05-28 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"3,4"
Student68,M,2005-10-02 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"3,5"
Student71,M,2005-12-15 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"3,5"
Student70,M,2005-12-27 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"3,6"
Student74,M,2006-01-23 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"3,8"
Student75,M,2005-05-28 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"4,1"
Student74,M,2006-01-23 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"4,1"
Student74,M,2006-01-23 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"4,6"
Student69,M,2006-06-10 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"4,6"
Student75,M,2005-05-28 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"4,8"
Student54,M,2005-11-17 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"4,9"
Student69,M,2006-06-10 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"4,9"
Student54,M,2005-11-17 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"4,9"
Student73,M,2006-01-31 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"5,0"
Student71,M,2005-12-15 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"5,1"
Student72,M,2006-08-19 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"5,2"
Student68,M,2005-10-02 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"5,3"
Student72,M,2006-08-19 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"5,3"
Student51,M,2005-05-07 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"5,7"
Student69,M,2006-06-10 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"5,7"
Student71,M,2005-12-15 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"5,8"
Student73,M,2006-01-31 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"5,8"
Student72,M,2006-08-19 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"6,1"
Student68,M,2005-10-02 00:00:00,HV3,AAK,Docent 5,2024-05-21 00:00:00,"6,2"
Student70,M,2005-12-27 00:00:00,HV3,AAK,Docent 5,2023-10-20 00:00:00,"6,2"
Student70,M,2005-12-27 00:00:00,HV3,AAK,Docent 10,2024-02-19 00:00:00,"6,5"
Student75,M,2005-05-28 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"2,7"
Student72,M,2006-08-19 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"2,9"
Student54,M,2005-11-17 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"3,0"
Student75,M,2005-05-28 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"3,0"
Student72,M,2006-08-19 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"3,2"
Student73,M,2006-01-31 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"3,6"
Student51,M,2005-05-07 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"3,8"
Student68,M,2005-10-02 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"4,0"
Student51,M,2005-05-07 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"4,1"
Student71,M,2005-12-15 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"4,2"
Student69,M,2006-06-10 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"4,5"
Student68,M,2005-10-02 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"4,6"
Student75,M,2005-05-28 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"4,7"
Student71,M,2005-12-15 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"4,9"
Student74,M,2006-01-23 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"5,0"
Student54,M,2005-11-17 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"5,1"
Student71,M,2005-12-15 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"5,1"
Student74,M,2006-01-23 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"5,3"
Student73,M,2006-01-31 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"5,3"
Student51,M,2005-05-07 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"5,3"
Student74,M,2006-01-23 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"5,3"
Student68,M,2005-10-02 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"5,7"
Student73,M,2006-01-31 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"5,9"
Student70,M,2005-12-27 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"6,1"
Student54,M,2005-11-17 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"6,2"
Student70,M,2005-12-27 00:00:00,HV3,BIO,Docent 3,2024-05-24 00:00:00,"6,2"
Student69,M,2006-06-10 00:00:00,HV3,BIO,Docent 8,2024-02-21 00:00:00,"6,3"
Student70,M,2005-12-27 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"6,5"
Student72,M,2006-08-19 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"6,5"
Student69,M,2006-06-10 00:00:00,HV3,BIO,Docent 3,2023-10-18 00:00:00,"6,6"
Student68,M,2005-10-02 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"3,0"
Student75,M,2005-05-28 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"3,1"
Student54,M,2005-11-17 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"3,3"
Student74,M,2006-01-23 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"3,4"
Student69,M,2006-06-10 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"3,6"
Student75,M,2005-05-28 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"3,8"
Student70,M,2005-12-27 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"3,8"
Student73,M,2006-01-31 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"4,1"
Student54,M,2005-11-17 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"4,1"
Student74,M,2006-01-23 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"4,2"
Student72,M,2006-08-19 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"4,2"
Student51,M,2005-05-07 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"4,3"
Student71,M,2005-12-15 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"4,3"
Student68,M,2005-10-02 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"4,5"
Student71,M,2005-12-15 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"4,6"
Student74,M,2006-01-23 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"4,9"
Student69,M,2006-06-10 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"4,9"
Student70,M,2005-12-27 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"5,0"
Student72,M,2006-08-19 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"5,0"
Student51,M,2005-05-07 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"5,5"
Student70,M,2005-12-27 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"5,7"
Student75,M,2005-05-28 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"5,7"
Student69,M,2006-06-10 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"5,9"
Student73,M,2006-01-31 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"6,1"
Student54,M,2005-11-17 00:00:00,HV3,ENG,Docent 7,2024-02-22 00:00:00,"6,2"
Student73,M,2006-01-31 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"6,2"
Student51,M,2005-05-07 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"6,3"
Student71,M,2005-12-15 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"6,3"
Student68,M,2005-10-02 00:00:00,HV3,ENG,Docent 2,2023-10-17 00:00:00,"6,5"
Student72,M,2006-08-19 00:00:00,HV3,ENG,Docent 7,2024-05-22 00:00:00,"6,5"
Student72,M,2006-08-19 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"2,8"
Student72,M,2006-08-19 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"3,0"
Student75,M,2005-05-28 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"3,0"
Student51,M,2005-05-07 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"3,1"
Student54,M,2005-11-17 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"3,1"
Student75,M,2005-05-28 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"3,3"
Student68,M,2005-10-02 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"3,3"
Student69,M,2006-06-10 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"3,4"
Student54,M,2005-11-17 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"3,6"
Student73,M,2006-01-31 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"3,6"
Student71,M,2005-12-15 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"3,9"
Student68,M,2005-10-02 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"4,0"
Student74,M,2006-01-23 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"4,1"
Student74,M,2006-01-23 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"4,5"
Student70,M,2005-12-27 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"4,8"
Student73,M,2006-01-31 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"4,8"
Student51,M,2005-05-07 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"4,9"
Student72,M,2006-08-19 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"5,0"
Student70,M,2005-12-27 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"5,1"
Student70,M,2005-12-27 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"5,1"
Student71,M,2005-12-15 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"5,2"
Student69,M,2006-06-10 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"5,2"
Student75,M,2005-05-28 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"5,4"
Student69,M,2006-06-10 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"5,4"
Student68,M,2005-10-02 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"5,5"
Student51,M,2005-05-07 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"5,9"
Student71,M,2005-12-15 00:00:00,HV3,NED,Docent 1,2023-10-16 00:00:00,"6,2"
Student74,M,2006-01-23 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"6,4"
Student54,M,2005-11-17 00:00:00,HV3,NED,Docent 1,2024-05-23 00:00:00,"6,5"
Student73,M,2006-01-31 00:00:00,HV3,NED,Docent 6,2024-02-23 00:00:00,"6,6"
Student71,M,2005-12-15 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"2,9"
Student68,M,2005-10-02 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"3,1"
Student75,M,2005-05-28 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"3,4"
Student75,M,2005-05-28 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"3,6"
Student74,M,2006-01-23 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"3,6"
Student69,M,2006-06-10 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"3,6"
Student73,M,2006-01-31 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"3,8"
Student68,M,2005-10-02 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"4,0"
Student70,M,2005-12-27 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"4,0"
Student70,M,2005-12-27 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"4,1"
Student54,M,2005-11-17 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"4,3"
Student54,M,2005-11-17 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"4,5"
Student71,M,2005-12-15 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"4,5"
Student51,M,2005-05-07 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"4,5"
Student74,M,2006-01-23 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"5,0"
Student51,M,2005-05-07 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"5,1"
Student51,M,2005-05-07 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"5,3"
Student73,M,2006-01-31 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"5,3"
Student75,M,2005-05-28 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"5,3"
Student68,M,2005-10-02 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"5,3"
Student73,M,2006-01-31 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"5,3"
Student69,M,2006-06-10 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"5,4"
Student72,M,2006-08-19 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"5,5"
Student70,M,2005-12-27 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"5,5"
Student72,M,2006-08-19 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"5,9"
Student74,M,2006-01-23 00:00:00,HV3,WIS,Docent 4,2023-10-19 00:00:00,"6,2"
Student69,M,2006-06-10 00:00:00,HV3,WIS,Docent 9,2024-05-20 00:00:00,"6,3"
Student54,M,2005-11-17 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"6,7"
Student71,M,2005-12-15 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"6,8"
Student72,M,2006-08-19 00:00:00,HV3,WIS,Docent 9,2024-02-20 00:00:00,"6,8"
Student99,M,2006-06-05 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"4,3"
Student91,M,2005-12-15 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"4,4"
Student98,M,2005-05-31 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"4,5"
Student92,M,2005-11-06 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"4,6"
Student95,M,2005-03-28 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"4,7"
Student97,M,2006-05-27 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"4,8"
Student94,M,2006-04-12 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"4,9"
Student95,M,2005-03-28 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"5,0"
Student96,M,2005-04-29 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"5,1"
Student92,M,2005-11-06 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"5,1"
Student99,M,2006-06-05 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"5,2"
Student93,M,2006-01-31 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"5,4"
Student100,M,2006-04-11 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"5,4"
Student93,M,2006-01-31 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"5,7"
Student97,M,2006-05-27 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"5,8"
Student92,M,2005-11-06 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"5,9"
Student91,M,2005-12-15 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"6,1"
Student94,M,2006-04-12 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"6,2"
Student99,M,2006-06-05 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"6,3"
Student100,M,2006-04-11 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"6,4"
Student90,M,2006-06-26 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"6,7"
Student97,M,2006-05-27 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"7,4"
Student90,M,2006-06-26 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"8,1"
Student94,M,2006-04-12 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"8,3"
Student90,M,2006-06-26 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"8,6"
Student98,M,2005-05-31 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"9,0"
Student100,M,2006-04-11 00:00:00,HV4,AAK,Docent 5,2023-10-20 00:00:00,"9,0"
Student96,M,2005-04-29 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"9,6"
Student95,M,2005-03-28 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"9,7"
Student98,M,2005-05-31 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"10,0"
Student96,M,2005-04-29 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"10,0"
Student91,M,2005-12-15 00:00:00,HV4,AAK,Docent 5,2024-05-21 00:00:00,"10,0"
Student93,M,2006-01-31 00:00:00,HV4,AAK,Docent 10,2024-02-19 00:00:00,"10,0"
Student93,M,2006-01-31 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"4,5"
Student97,M,2006-05-27 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"4,5"
Student97,M,2006-05-27 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"4,7"
Student98,M,2005-05-31 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"5,0"
Student91,M,2005-12-15 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"5,1"
Student96,M,2005-04-29 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"5,2"
Student95,M,2005-03-28 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"5,6"
Student92,M,2005-11-06 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"5,6"
Student90,M,2006-06-26 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"5,9"
Student93,M,2006-01-31 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"6,0"
Student96,M,2005-04-29 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"6,1"
Student93,M,2006-01-31 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"6,1"
Student99,M,2006-06-05 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"6,2"
Student94,M,2006-04-12 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"7,1"
Student91,M,2005-12-15 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"7,2"
Student100,M,2006-04-11 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"7,2"
Student96,M,2005-04-29 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"7,7"
Student99,M,2006-06-05 00:00:00,HV4,BIO,Docent 3,2024-05-24 00:00:00,"7,8"
Student95,M,2005-03-28 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"8,0"
Student90,M,2006-06-26 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"8,1"
Student100,M,2006-04-11 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"8,8"
Student90,M,2006-06-26 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"8,9"
Student99,M,2006-06-05 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"9,0"
Student100,M,2006-04-11 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"9,1"
Student94,M,2006-04-12 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"9,1"
Student94,M,2006-04-12 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"9,1"
Student95,M,2005-03-28 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"9,4"
Student97,M,2006-05-27 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"9,4"
Student98,M,2005-05-31 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"9,5"
Student92,M,2005-11-06 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"9,5"
Student98,M,2005-05-31 00:00:00,HV4,BIO,Docent 8,2024-02-21 00:00:00,"9,8"
Student91,M,2005-12-15 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"10,0"
Student92,M,2005-11-06 00:00:00,HV4,BIO,Docent 3,2023-10-18 00:00:00,"10,0"
Student95,M,2005-03-28 00:00:00,HV4,ENG,Docent 2,2023-10-17 00:00:00,"4,3"
Student90,M,2006-06-26 00:00:00,HV4,ENG,Docent 2,2023-10-17 00:00:00,"4,4"
Student94,M,2006-04-12 00:00:00,HV4,ENG,Docent 7,2024-05-22 00:00:00,"4,6"
Student96,M,2005-04-29 00:00:00,HV4,ENG,Docent 7,2024-02-22 00:00:00,"4,8"
